,EH_ID,primary_infection,challenge_infection,labels,fecweight_qPCR
1,LM0258,E64,E64,E57bxKMS,0.1214
2,LM0258,E64,E64,E57bxHVW,0.0575
3,LM0258,E64,E64,E57bxOPZ,0.0686
4,LM0258,E64,E64,E57bxJXZ,0.0647
5,LM0258,E64,E64,E57bxHJU,0.0441
6,LM0258,E64,E64,E57bxAEQ,0.0614
7,LM0258,E64,E64,E57bxHKX,0.0417
8,LM0258,E64,E64,E57bxFYZ,0.1467
9,LM0258,E64,E64,E57bxCGS,0.0481
10,LM0259,E64,E64,E57bxGTW,0.0582
11,LM0259,E64,E64,E57bxNUY,0.0441
12,LM0259,E64,E64,E57bxGHL,0.0452
13,LM0259,E64,E64,E57bxALR,0.0777
14,LM0259,E64,E64,E57bxCLS,0.0590
15,LM0259,E64,E64,E57bxAFV,0.0606
16,LM0259,E64,E64,E57bxGHI,0.0552
17,LM0259,E64,E64,E57bxFGV,0.0716
18,LM0259,E64,E64,E57bxDKW,0.0728
19,LM0260,E64,E64,E57byCKT,
20,LM0260,E64,E64,E57byAUZ,
21,LM0260,E64,E64,E57byRTX,0.0753
22,LM0260,E64,E64,E57byGIT,0.0534
23,LM0260,E64,E64,E57byGHV,0.0494
24,LM0260,E64,E64,E57byITX,0.0448
25,LM0260,E64,E64,E57byRSU,0.0658
26,LM0260,E64,E64,E57byNTU,
27,LM0260,E64,E64,E57byJKZ,0.0872
28,LM0262,E64,E64,E57byAMV,
29,LM0262,E64,E64,E57byFHK,
30,LM0262,E64,E64,E57byCFV,0.0755
31,LM0262,E64,E64,E57byABO,0.0592
32,LM0262,E64,E64,E57byBKV,0.0530
33,LM0262,E64,E64,E57byNRV,0.0940
34,LM0262,E64,E64,E57byHQZ,0.0474
35,LM0262,E64,E64,E57byNSX,0.0471
36,LM0262,E64,E64,E57byHKS,0.0542
37,LM0265,E64,E64,E57byIMQ,0.0449
38,LM0265,E64,E64,E57byFGW,0.0576
39,LM0265,E64,E64,E57byBKY,0.0476
40,LM0265,E64,E64,E57byDKM,0.0591
41,LM0265,E64,E64,E57byGSV,
42,LM0265,E64,E64,E57byPQY,0.0573
43,LM0265,E64,E64,E57byAHU,0.0458
44,LM0265,E64,E64,E57byEIS,0.0606
45,LM0265,E64,E64,E57byAFP,
46,LM0269,E64,E64,E57byBIW,0.0270
47,LM0269,E64,E64,E57byLOT,0.0505
48,LM0269,E64,E64,E57byGPR,
49,LM0269,E64,E64,E57byHJW,0.0549
50,LM0269,E64,E64,E57byIQW,Empty
51,LM0269,E64,E64,E57byEIV,0.0894
52,LM0269,E64,E64,E57byAQY,
53,LM0269,E64,E64,E57byMNP,0.0623
54,LM0269,E64,E64,E57bySUZ,0.0566
55,LM0270,E64,E64,E57byBTZ,0.0887
56,LM0270,E64,E64,E57byNRU,0.0389
57,LM0270,E64,E64,E57byEKV,0.0653
58,LM0270,E64,E64,E57byOSZ,0.0467
59,LM0270,E64,E64,E57byKMQ,0.0819
60,LM0270,E64,E64,E57byGQU,0.0740
61,LM0270,E64,E64,E57byARS,0.0797
62,LM0270,E64,E64,E57byAOZ,0.0552
63,LM0270,E64,E64,E57byBGV,
64,LM0279,E64,E64,E57byNOY,0.0872
65,LM0279,E64,E64,E57bySTZ,0.0449
66,LM0279,E64,E64,E57byHIY,0.0562
67,LM0279,E64,E64,E57byBNQ,0.0510
68,LM0279,E64,E64,E57byFPV,0.0431
69,LM0279,E64,E64,E57byQSV,0.0727
70,LM0279,E64,E64,E57byBMS,
71,LM0279,E64,E64,E57byBHX,0.0416
72,LM0279,E64,E64,E57byLNT,0.1271
73,LM0280,E64,E64,E57byFJY,0.0499
74,LM0280,E64,E64,E57byOSY,Empty
75,LM0280,E64,E64,E57byDVW,
76,LM0280,E64,E64,E57byAVW,0.0578
77,LM0280,E64,E64,E57byNXY,0.0509
78,LM0280,E64,E64,E57byIMP,0.0496
79,LM0280,E64,E64,E57byMRZ,0.0568
80,LM0280,E64,E64,E57byLQU,
81,LM0280,E64,E64,E57byHKN,0.0405
82,LM0284,E64,E64,E57byKOX,0.0812
83,LM0284,E64,E64,E57byFMN,0.0557
84,LM0284,E64,E64,E57byLPZ,
85,LM0284,E64,E64,E57byFMV,0.0790
86,LM0284,E64,E64,E57byLRS,0.0477
87,LM0284,E64,E64,E57byCRX,0.0490
88,LM0284,E64,E64,E57byKLQ,
89,LM0284,E64,E64,E57byKLT,0.0513
90,LM0284,E64,E64,E57byLOR,0.0439